LookupType|LookupCode|DisplaySequence|EnabledFlag|StartDateActive|EndDateActive|Meaning|Description|Tag
WSC_BS_ACCOUNT_NATURAL_SIGN|111||Y|1/1/1951||111|111110|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|112||Y|1/1/1951||112|111111|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|113||Y|1/1/1951||113|111112|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|114||Y|1/1/1951||114|111113|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|115||Y|1/1/1951||115|111114|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|116||Y|1/1/1951||116|111115|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|117||Y|1/1/1951||117|111116|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|118||Y|1/1/1951||118|111117|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|119||Y|1/1/1951||119|111118|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|120||Y|1/1/1951||120|111119|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|121||Y|1/1/1951||121|111120|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|122||Y|1/1/1951||122|111121|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|123||Y|1/1/1951||123|111122|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|124||Y|1/1/1951||124|111123|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|125||Y|1/1/1951||125|111124|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|126||Y|1/1/1951||126|111125|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|127||Y|1/1/1951||127|111126|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|128||Y|1/1/1951||128|111127|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|129||Y|1/1/1951||129|111128|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|130||Y|1/1/1951||130|111129|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|131||Y|1/1/1951||131|111130|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|132||Y|1/1/1951||132|111131|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|133||Y|1/1/1951||133|111132|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|134||Y|1/1/1951||134|111133|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|135||Y|1/1/1951||135|111134|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|136||Y|1/1/1951||136|111135|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|137||Y|1/1/1951||137|111136|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|138||Y|1/1/1951||138|111137|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|139||Y|1/1/1951||139|111138|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|140||Y|1/1/1951||140|111139|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|141||Y|1/1/1951||141|111140|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|142||Y|1/1/1951||142|111141|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|143||Y|1/1/1951||143|111142|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|144||Y|1/1/1951||144|111143|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|145||Y|1/1/1951||145|111144|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|146||Y|1/1/1951||146|111145|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|147||Y|1/1/1951||147|111146|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|148||Y|1/1/1951||148|111147|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|149||Y|1/1/1951||149|111148|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|150||Y|1/1/1951||150|111149|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|151||Y|1/1/1951||151|111150|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|152||Y|1/1/1951||152|111151|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|153||Y|1/1/1951||153|111152|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|154||Y|1/1/1951||154|111153|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|155||Y|1/1/1951||155|111154|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|156||Y|1/1/1951||156|111155|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|157||Y|1/1/1951||157|111156|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|158||Y|1/1/1951||158|111157|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|159||Y|1/1/1951||159|111158|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|160||Y|1/1/1951||160|111159|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|161||Y|1/1/1951||161|111160|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|162||Y|1/1/1951||162|111161|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|163||Y|1/1/1951||163|111162|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|164||Y|1/1/1951||164|111163|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|165||Y|1/1/1951||165|111164|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|166||Y|1/1/1951||166|111165|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|167||Y|1/1/1951||167|111166|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|168||Y|1/1/1951||168|111167|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|169||Y|1/1/1951||169|111168|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|170||Y|1/1/1951||170|111169|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|171||Y|1/1/1951||171|111170|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|172||Y|1/1/1951||172|111171|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|173||Y|1/1/1951||173|111172|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|174||Y|1/1/1951||174|111173|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|175||Y|1/1/1951||175|111174|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|176||Y|1/1/1951||176|111175|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|177||Y|1/1/1951||177|111176|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|178||Y|1/1/1951||178|111177|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|179||Y|1/1/1951||179|111178|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|180||Y|1/1/1951||180|111179|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|181||Y|1/1/1951||181|111180|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|182||Y|1/1/1951||182|111181|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|183||Y|1/1/1951||183|111182|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|184||Y|1/1/1951||184|111183|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|185||Y|1/1/1951||185|111184|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|186||Y|1/1/1951||186|111185|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|187||Y|1/1/1951||187|111186|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|188||Y|1/1/1951||188|111187|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|189||Y|1/1/1951||189|111188|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|190||Y|1/1/1951||190|111189|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|191||Y|1/1/1951||191|111190|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|192||Y|1/1/1951||192|111191|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|193||Y|1/1/1951||193|111192|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|194||Y|1/1/1951||194|111193|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|195||Y|1/1/1951||195|111194|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|196||Y|1/1/1951||196|111195|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|197||Y|1/1/1951||197|111196|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|198||Y|1/1/1951||198|111197|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|199||Y|1/1/1951||199|111198|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|200||Y|1/1/1951||200|111199|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|201||Y|1/1/1951||201|111200|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|202||Y|1/1/1951||202|111201|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|203||Y|1/1/1951||203|111202|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|204||Y|1/1/1951||204|111203|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|205||Y|1/1/1951||205|111204|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|206||Y|1/1/1951||206|111205|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|207||Y|1/1/1951||207|111206|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|208||Y|1/1/1951||208|111207|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|209||Y|1/1/1951||209|111208|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|210||Y|1/1/1951||210|111209|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|211||Y|1/1/1951||211|111210|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|212||Y|1/1/1951||212|111211|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|213||Y|1/1/1951||213|111212|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|214||Y|1/1/1951||214|111213|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|215||Y|1/1/1951||215|111214|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|216||Y|1/1/1951||216|111215|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|217||Y|1/1/1951||217|111216|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|218||Y|1/1/1951||218|111217|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|219||Y|1/1/1951||219|111218|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|220||Y|1/1/1951||220|111219|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|221||Y|1/1/1951||221|111220|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|222||Y|1/1/1951||222|111221|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|223||Y|1/1/1951||223|111222|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|224||Y|1/1/1951||224|111223|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|225||Y|1/1/1951||225|111224|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|226||Y|1/1/1951||226|111225|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|227||Y|1/1/1951||227|111226|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|228||Y|1/1/1951||228|111227|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|229||Y|1/1/1951||229|111228|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|230||Y|1/1/1951||230|111229|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|231||Y|1/1/1951||231|111230|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|232||Y|1/1/1951||232|111231|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|233||Y|1/1/1951||233|111232|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|234||Y|1/1/1951||234|111233|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|235||Y|1/1/1951||235|111234|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|236||Y|1/1/1951||236|111235|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|237||Y|1/1/1951||237|111236|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|238||Y|1/1/1951||238|111237|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|239||Y|1/1/1951||239|111238|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|240||Y|1/1/1951||240|111239|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|241||Y|1/1/1951||241|111240|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|242||Y|1/1/1951||242|111241|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|243||Y|1/1/1951||243|111242|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|244||Y|1/1/1951||244|111243|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|245||Y|1/1/1951||245|111244|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|246||Y|1/1/1951||246|111245|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|247||Y|1/1/1951||247|111246|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|248||Y|1/1/1951||248|111247|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|249||Y|1/1/1951||249|111248|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|250||Y|1/1/1951||250|111249|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|251||Y|1/1/1951||251|111250|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|252||Y|1/1/1951||252|111251|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|253||Y|1/1/1951||253|111252|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|254||Y|1/1/1951||254|111253|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|255||Y|1/1/1951||255|111254|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|256||Y|1/1/1951||256|111255|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|257||Y|1/1/1951||257|111256|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|258||Y|1/1/1951||258|111257|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|259||Y|1/1/1951||259|111258|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|260||Y|1/1/1951||260|111259|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|261||Y|1/1/1951||261|111260|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|262||Y|1/1/1951||262|111261|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|263||Y|1/1/1951||263|111262|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|264||Y|1/1/1951||264|111263|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|265||Y|1/1/1951||265|111264|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|266||Y|1/1/1951||266|111265|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|267||Y|1/1/1951||267|111266|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|268||Y|1/1/1951||268|111267|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|269||Y|1/1/1951||269|111268|Debit
