COA_NAME,SOURCE_SEGMENT1,SOURCE_SEGMENT2,SOURCE_SEGMENT3,SOURCE_SEGMENT4,SOURCE_SEGMENT5,SOURCE_SEGMENT6,SOURCE_SEGMENT7,SOURCE_SEGMENT8,SOURCE_SEGMENT9,SOURCE_SEGMENT10
POC to Cloud,002,007847,50703,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,003735,40004,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,003735,40101,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,018,001841,11001,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,007132,50601,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,007861,40101,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,003735,50101,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,007861,11051,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,003735,50207,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,004002,20301,018,000000,000000,000000,USD WESCO US,,
POC to Cloud,018,004018,70901,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,018,001841,50106,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,007144,40001,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,018,004018,20031,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,007847,11150,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,003735,11052,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,004444,40101,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,018,004018,10409,002,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,007861,40201,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,007847,50723,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,018,001841,50001,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,007861,50201,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,007861,40101,018,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,007302,50707,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,009999,50049,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,004002,70901,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,004002,10151,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,004002,10199,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,003735,10413,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,007861,10413,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,018,004018,20020,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,003735,21581,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,018,004018,50801,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,004002,11497,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,007861,71001,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,018,001841,40602,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,018,001841,50702,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,007847,11051,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,007861,11499,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,007847,50106,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,018,004018,50707,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,003735,50049,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,018,001841,40201,002,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,004002,10401,018,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,003735,40102,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,007847,50702,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,007861,12004,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,018,004018,50601,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,018,004444,40105,000,000000,000000,000000,USD WESCO US,,
