COA_NAME,SOURCE_SEGMENT1,SOURCE_SEGMENT2,SOURCE_SEGMENT3,SOURCE_SEGMENT4,SOURCE_SEGMENT5,SOURCE_SEGMENT6,SOURCE_SEGMENT7,SOURCE_SEGMENT8,SOURCE_SEGMENT9,SOURCE_SEGMENT10
Central to Cloud,6707,426-40,,,,,,,,
Central to Cloud,7884,421-30,,,,,,,,
Central to Cloud,7420,221-21,,,,,,,,
Central to Cloud,7653,423-38,,,,,,,,
Central to Cloud,7660,433-38,,,,,,,,
Central to Cloud,7853,423-77,,,,,,,,
Central to Cloud,1934,421-64,,,,,,,,
Central to Cloud,7370,421-68,,,,,,,,
Central to Cloud,7370,504-48,,,,,,,,
Central to Cloud,7370,426-43,,,,,,,,
Central to Cloud,2125,421-45,,,,,,,,
Central to Cloud,2645,423-64,,,,,,,,
Central to Cloud,3560,421-39,,,,,,,,
Central to Cloud,7435,426-63,,,,,,,,
Central to Cloud,7435,426-66,,,,,,,,
Central to Cloud,7450,426-67,,,,,,,,
Central to Cloud,7819,426-59,,,,,,,,
Central to Cloud,2690,421-44,,,,,,,,
Central to Cloud,3580,421-52,,,,,,,,
Central to Cloud,7312,433-06,,,,,,,,
Central to Cloud,6712,423-77,,,,,,,,
Central to Cloud,6101,421-31,,,,,,,,
Central to Cloud,5687,433-23,,,,,,,,
Central to Cloud,6113,421-30,,,,,,,,
Central to Cloud,1934,221-03,,,,,,,,
Central to Cloud,7890,421-64,,,,,,,,
Central to Cloud,1927,426-59,,,,,,,,
Central to Cloud,2770,423-46,,,,,,,,
Central to Cloud,1939,221-12,,,,,,,,
Central to Cloud,2620,426-40,,,,,,,,
Central to Cloud,2620,426-82,,,,,,,,
Central to Cloud,2645,426-80,,,,,,,,
Central to Cloud,3915,421-81,,,,,,,,
Central to Cloud,7850,426-59,,,,,,,,
Central to Cloud,7852,426-10,,,,,,,,
Central to Cloud,7853,426-07,,,,,,,,
Central to Cloud,7891,222-05,,,,,,,,
Central to Cloud,7645,421-69,,,,,,,,
Central to Cloud,7890,423-39,,,,,,,,
Central to Cloud,7440,423-61,,,,,,,,
Central to Cloud,2815,224-16,,,,,,,,
Central to Cloud,5438,423-67,,,,,,,,
Central to Cloud,3605,421-05,,,,,,,,
Central to Cloud,7587,421-79,,,,,,,,
Central to Cloud,7551,421-70,,,,,,,,
Central to Cloud,7302,423-41,,,,,,,,
Central to Cloud,2390,221-14,,,,,,,,
Central to Cloud,7662,421-68,,,,,,,,
Central to Cloud,2670,421-45,,,,,,,,
Central to Cloud,2640,421-60,,,,,,,,
Central to Cloud,7557,426-60,,,,,,,,
Central to Cloud,2370,504-48,,,,,,,,
Central to Cloud,7660,423-23,,,,,,,,
Central to Cloud,7840,426-67,,,,,,,,
Central to Cloud,2365,423-68,,,,,,,,
Central to Cloud,2216,426-07,,,,,,,,
Central to Cloud,1909,222-11,,,,,,,,
Central to Cloud,7601,433-13,,,,,,,,
Central to Cloud,7228,423-80,,,,,,,,
Central to Cloud,2690,423-50,,,,,,,,
Central to Cloud,7891,421-62,,,,,,,,
Central to Cloud,6101,426-62,,,,,,,,
Central to Cloud,3725,423-30,,,,,,,,
Central to Cloud,2515,421-07,,,,,,,,
Central to Cloud,2665,221-15,,,,,,,,
Central to Cloud,3915,221-16,,,,,,,,
Central to Cloud,2515,421-53,,,,,,,,
Central to Cloud,5441,421-41,,,,,,,,
Central to Cloud,3415,423-77,,,,,,,,
Central to Cloud,2115,421-31,,,,,,,,
Central to Cloud,2390,421-70,,,,,,,,
Central to Cloud,7866,433-50,,,,,,,,
Central to Cloud,7861,428-03,,,,,,,,
Central to Cloud,7852,421-80,,,,,,,,
Central to Cloud,2620,423-59,,,,,,,,
Central to Cloud,2625,423-67,,,,,,,,
Central to Cloud,2660,423-39,,,,,,,,
Central to Cloud,2660,423-79,,,,,,,,
Central to Cloud,2770,423-67,,,,,,,,
Central to Cloud,2335,423-60,,,,,,,,
Central to Cloud,1338,423-62,,,,,,,,
Central to Cloud,1339,423-62,,,,,,,,
Central to Cloud,1344,423-12,,,,,,,,
Central to Cloud,2380,423-43,,,,,,,,
Central to Cloud,2380,423-50,,,,,,,,
Central to Cloud,3605,421-68,,,,,,,,
Central to Cloud,1447,423-23,,,,,,,,
Central to Cloud,2810,224-16,,,,,,,,
Central to Cloud,2670,423-64,,,,,,,,
Central to Cloud,5235,421-10,,,,,,,,
Central to Cloud,5235,421-60,,,,,,,,
Central to Cloud,5795,421-07,,,,,,,,
Central to Cloud,3705,421-60,,,,,,,,
Central to Cloud,3560,421-80,,,,,,,,
